DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
02-Jul-2021,58.5,59.44,57.17,57.96,178511,
05-Jul-2021,58.16,59.73,57.76,58.85,219009,
06-Jul-2021,58.89,62.83,58.89,60.37,345452,
07-Jul-2021,60.62,61.84,59.68,60.71,120200,
08-Jul-2021,59.98,62.73,59.98,60.81,173059,
09-Jul-2021,61.16,61.55,59.98,60.27,80536,
12-Jul-2021,60.27,64.4,60.27,63.17,433789,
13-Jul-2021,63.96,65.63,63.91,64.7,343672,
14-Jul-2021,65.58,65.58,62.19,63.52,186786,
15-Jul-2021,63.86,65.58,62.93,63.47,267449,
16-Jul-2021,63.91,68.28,62.53,64.06,824427,
19-Jul-2021,64.45,68.83,64.45,66.47,506566,
20-Jul-2021,67.74,67.99,64.5,65.14,345355,
22-Jul-2021,66.37,66.76,64.94,65.53,101745,
23-Jul-2021,66.37,66.42,63.52,63.96,176110,
26-Jul-2021,64.3,64.7,62.29,62.88,114623,
27-Jul-2021,62.93,63.81,61.45,61.89,124095,
28-Jul-2021,62.73,62.73,59.19,61.8,110505,
29-Jul-2021,62.43,63.42,61.94,63.12,58880,
30-Jul-2021,62.93,67.5,61.65,65.38,505882,
02-Aug-2021,65.58,67.25,65.09,65.48,191472,
03-Aug-2021,66.37,68.73,64.45,66.32,581423,
04-Aug-2021,67.25,67.89,63.91,64.79,177188,
05-Aug-2021,65.38,65.38,62.43,62.68,112842,
06-Aug-2021,63.12,65.48,62.93,65.14,102939,
09-Aug-2021,66.27,66.27,62.19,62.83,88957,
10-Aug-2021,64.35,64.35,58.01,59.29,202877,
11-Aug-2021,59.48,61.25,54.77,57.57,183779,
12-Aug-2021,57.62,60.76,57.57,60.12,67303,
13-Aug-2021,61.45,61.45,58.55,58.89,102672,
16-Aug-2021,58.5,60.17,57.17,57.62,66623,
17-Aug-2021,57.42,57.91,54.67,56.14,103961,
18-Aug-2021,55.55,57.03,52.5,53.44,112212,
20-Aug-2021,53.34,53.34,51.62,52.01,73665,
23-Aug-2021,52.9,53.63,47.64,48.62,151801,
24-Aug-2021,49.95,53.24,48.96,52.06,107584,
25-Aug-2021,53.09,53.68,51.62,52.41,49927,
26-Aug-2021,52.41,53.59,50.73,51.86,65185,
27-Aug-2021,51.13,53.19,51.13,52.55,60075,
30-Aug-2021,52.6,53.93,51.57,52.5,87085,
31-Aug-2021,53.98,53.98,52.7,52.95,44967,
01-Sep-2021,53.78,53.78,52.21,53.04,51111,
02-Sep-2021,53.59,54.13,52.5,52.95,42021,
03-Sep-2021,53.54,53.93,52.26,52.7,53659,
06-Sep-2021,52.7,53.63,52.7,52.9,25839,
07-Sep-2021,53.59,53.59,51.72,52.26,42533,
08-Sep-2021,52.36,57.42,51.67,53.78,142118,
09-Sep-2021,54.08,54.91,53.24,53.63,32960,
13-Sep-2021,54.77,54.77,52.16,52.9,43228,
14-Sep-2021,53.09,54.37,52.85,53.09,69160,
15-Sep-2021,53.88,63.71,53.73,63.71,967425,
16-Sep-2021,66.66,66.66,58.01,59.29,965236,
17-Sep-2021,60.52,61.89,55.55,56.58,361544,
20-Sep-2021,55.9,58.6,55.31,55.65,158422,
21-Sep-2021,56.14,56.39,54.27,55.65,85691,
22-Sep-2021,56.04,57.62,56.04,56.88,86139,
23-Sep-2021,58.06,61.5,57.22,59.29,369542,
24-Sep-2021,60.17,60.17,58.01,58.31,155115,
27-Sep-2021,58.89,59.58,58.26,58.5,69283,
28-Sep-2021,58.7,59.53,55.85,56.93,110743,
29-Sep-2021,57.27,58.7,56.63,57.57,99139,
30-Sep-2021,59.93,64.06,59.68,60.17,784831,
01-Oct-2021,59.88,61.7,58.99,59.98,107412,
04-Oct-2021,60.57,61.4,58.94,59.78,111663,
05-Oct-2021,59.63,60.37,58.99,59.24,106172,
06-Oct-2021,60.07,63.42,59.48,60.27,435161,
07-Oct-2021,60.71,62.63,60.47,60.86,188941,
08-Oct-2021,61.75,61.94,59.83,60.52,92508,
11-Oct-2021,60.22,61.45,59.48,59.63,94847,
12-Oct-2021,60.12,62.83,59.29,61.89,259026,
13-Oct-2021,64.89,64.89,61.94,62.29,496773,
14-Oct-2021,62.93,63.52,60.96,61.3,111980,
18-Oct-2021,61.84,63.42,61.25,61.65,207065,
19-Oct-2021,61.7,63.37,59.78,60.32,179978,
20-Oct-2021,60.37,62.24,58.94,61.75,157664,
21-Oct-2021,63.27,63.76,57.57,58.55,440516,
22-Oct-2021,58.75,60.96,55.75,57.42,234159,
25-Oct-2021,58.06,58.85,54.57,55.95,110375,
26-Oct-2021,55.8,58.01,55.8,56.88,67288,
27-Oct-2021,57.72,60.22,57.03,59.14,118645,
28-Oct-2021,58.85,59.88,57.52,58.35,89417,
29-Oct-2021,58.99,58.99,57.08,57.57,52549,
01-Nov-2021,58.45,58.5,56.63,57.13,70239,
02-Nov-2021,57.32,58.01,57.03,57.57,30134,
03-Nov-2021,57.96,59.09,57.08,57.42,64095,
