DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
04-Jul-2021,23.95,23.95,23.95,23.95,3191,
05-Jul-2021,24.4,24.4,24.4,24.4,1468,
06-Jul-2021,24.85,24.85,24.85,24.85,4874,
07-Jul-2021,25.3,25.3,25.3,25.3,8170,
08-Jul-2021,25.8,25.8,24.8,24.8,21987,
11-Jul-2021,24.4,24.4,24.35,24.35,8137,
12-Jul-2021,23.9,23.9,23.9,23.9,1978,
13-Jul-2021,23.45,24.35,23.45,24.15,43143,
14-Jul-2021,24.6,24.6,23.7,23.7,6663,
15-Jul-2021,23.25,24.15,23.25,23.25,4553,
18-Jul-2021,23.25,23.25,22.8,22.8,899,
19-Jul-2021,22.8,22.8,22.35,22.35,1655,
21-Jul-2021,21.95,21.95,21.95,21.95,1111,
22-Jul-2021,21.55,21.55,21.55,21.55,1901,
25-Jul-2021,21.15,21.15,21.15,21.15,3017,
26-Jul-2021,20.8,21.55,20.75,21.35,11279,
27-Jul-2021,21.75,21.75,21.75,21.75,487,
28-Jul-2021,22.15,22.15,22.15,22.15,1232,
29-Jul-2021,22.55,22.55,22.55,22.55,584,
01-Aug-2021,23,23,23,23,9988,
02-Aug-2021,23.45,23.45,23.45,23.45,695,
03-Aug-2021,23.9,23.9,23.9,23.9,2026,
04-Aug-2021,24.35,24.35,24.35,24.35,2618,
05-Aug-2021,24.8,24.8,24.8,24.8,564,
08-Aug-2021,25.25,25.25,25.25,25.25,5026,
09-Aug-2021,25.75,25.75,25.75,25.75,1503,
10-Aug-2021,26.25,26.25,26.25,26.25,2225,
11-Aug-2021,26.75,26.75,26.75,26.75,2176,
12-Aug-2021,27.25,27.25,27.25,27.25,1113,
15-Aug-2021,27.4,27.75,27.4,27.75,2354,
16-Aug-2021,28.3,28.3,28.3,28.3,6976,
17-Aug-2021,28.85,28.85,28.8,28.85,57173,
19-Aug-2021,29.4,29.4,28.85,29.4,8151,
22-Aug-2021,29.95,29.95,29.95,29.95,4049,
23-Aug-2021,30.5,30.5,30.5,30.5,883,
24-Aug-2021,31.1,31.1,31.1,31.1,1639,
25-Aug-2021,31.7,31.7,31.7,31.7,46,
26-Aug-2021,32.3,32.3,31.1,32.3,61609,
29-Aug-2021,32.85,32.9,32.85,32.9,4249,
30-Aug-2021,33.55,33.55,33.55,33.55,563,
31-Aug-2021,34.2,34.2,34.2,34.2,518,
01-Sep-2021,34.85,34.85,34.85,34.85,1377,
02-Sep-2021,35.5,35.5,35.5,35.5,998,
05-Sep-2021,36.2,36.2,36.2,36.2,2383,
06-Sep-2021,36.9,36.9,35.5,35.5,32346,
07-Sep-2021,34.8,36.2,34.8,36.2,31233,
08-Sep-2021,36.9,36.9,36.9,36.9,6507,
12-Sep-2021,37.6,37.6,37.6,37.6,4189,
13-Sep-2021,38.35,38.35,38.35,38.35,5605,
14-Sep-2021,39.1,39.1,39.05,39.1,13428,
15-Sep-2021,39.85,39.85,39.85,39.85,12488,
16-Sep-2021,40.6,40.6,40.6,40.6,6064,
19-Sep-2021,41.4,41.4,41.4,41.4,6521,
20-Sep-2021,42.2,42.2,40.6,42.2,46536,
21-Sep-2021,43,43,41.45,43,27603,
22-Sep-2021,43.85,43.85,43,43.85,5558,
23-Sep-2021,44.7,44.7,44.7,44.7,4190,
26-Sep-2021,45.55,45.55,45.55,45.55,5167,
27-Sep-2021,46.45,46.45,46.45,46.45,9055,
28-Sep-2021,47.35,47.35,47,47.35,33832,
29-Sep-2021,48.25,48.25,48.25,48.25,1411,
30-Sep-2021,49.2,49.2,49.2,49.2,9960,
03-Oct-2021,50.15,50.15,50.15,50.15,3615,
04-Oct-2021,51.15,51.15,51.15,51.15,23138,
05-Oct-2021,52.15,52.15,52.15,52.15,6287,
06-Oct-2021,53.15,53.15,53.15,53.15,1997,
07-Oct-2021,54.2,54.2,54.2,54.2,6888,
10-Oct-2021,55.25,55.25,53.15,53.15,119995,
11-Oct-2021,52.1,52.1,52.1,52.1,11511,
12-Oct-2021,51.1,51.1,51.1,51.1,1943,
13-Oct-2021,50.1,50.1,50.1,50.1,1516,
17-Oct-2021,49.1,51.1,49.1,51.1,111585,
18-Oct-2021,51.1,51.1,50.1,50.1,30203,
19-Oct-2021,49.1,51.1,49.1,49.35,83830,
20-Oct-2021,49.35,50.3,48.4,48.4,27024,
21-Oct-2021,49.35,49.35,49.35,49.35,28212,
24-Oct-2021,50.3,50.3,50.3,50.3,14793,
