DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
04-Jul-2021,1180,1217.3,1164.85,1206,75957,
05-Jul-2021,1217.3,1240,1200,1210.9,55081,
06-Jul-2021,1216.9,1216.9,1182.3,1208.55,22061,
07-Jul-2021,1208.55,1240,1201.35,1229.75,37355,
08-Jul-2021,1240,1260,1195.05,1211.55,43053,
11-Jul-2021,1217.65,1237.15,1208.95,1223.9,35220,
12-Jul-2021,1230,1273.9,1216.35,1235.75,25073,
13-Jul-2021,1245,1290,1229.5,1272.95,80933,
14-Jul-2021,1285,1308,1266,1282.9,91997,
15-Jul-2021,1289.35,1440,1283,1388.9,332644,
18-Jul-2021,1370,1415.15,1358,1386.35,149800,
19-Jul-2021,1390,1488,1361.55,1384.35,148009,
21-Jul-2021,1395,1408.7,1371.05,1390.25,87317,
22-Jul-2021,1391,1400,1303.6,1319.4,53886,
25-Jul-2021,1301,1340,1301,1316.65,32209,
26-Jul-2021,1323.25,1371,1290.15,1302.85,25060,
27-Jul-2021,1309,1309,1263.75,1299.4,60171,
28-Jul-2021,1300,1307.5,1275,1296.3,25963,
29-Jul-2021,1297,1450,1297,1411.3,229800,
01-Aug-2021,1448.9,1460,1414.45,1432.5,59658,
02-Aug-2021,1460,1497,1344.2,1383.8,101103,
03-Aug-2021,1450,1640.95,1450,1589.6,2542841,
04-Aug-2021,1555,1580,1511,1535.5,436283,
05-Aug-2021,1553,1649,1533.05,1627.95,1081923,
08-Aug-2021,1661.45,1678.75,1595.1,1612.55,214671,
09-Aug-2021,1570,1604,1544.35,1570.4,103384,
10-Aug-2021,1650,1650,1543.9,1562.7,160844,
11-Aug-2021,1547.75,1576.25,1515,1529.95,48492,
12-Aug-2021,1543.95,1620.95,1521.05,1549.3,212084,
15-Aug-2021,1561.3,1561.3,1490,1503.65,47911,
16-Aug-2021,1545,1600,1502,1568.8,161570,
17-Aug-2021,1573,1616.45,1546.6,1586.3,98850,
19-Aug-2021,1552,1580,1494.35,1509.05,68403,
22-Aug-2021,1508,1534.6,1476.15,1487.65,65053,
23-Aug-2021,1518,1570.75,1485.2,1531.35,40648,
24-Aug-2021,1549.9,1550,1490,1498.3,28481,
25-Aug-2021,1500,1530,1493.25,1500.75,17213,
26-Aug-2021,1508.3,1520.7,1498.45,1503.7,19492,
29-Aug-2021,1505,1560,1495,1550.5,94405,
