DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
02-Jul-2021,100,101,97.5,99.5,777880,
05-Jul-2021,101.5,101.5,99,100.5,1610173,
06-Jul-2021,101,102.5,99.5,100,1226426,
07-Jul-2021,100,101,96,99.5,594809,
08-Jul-2021,100.5,100.5,97.5,98,641667,
09-Jul-2021,98.5,99.5,95,98,622544,
12-Jul-2021,98,100.5,97.5,98,558734,
13-Jul-2021,99,100,96,96.5,386111,
14-Jul-2021,98,98,95.5,96,464511,
15-Jul-2021,97,98,94.5,95,660663,
16-Jul-2021,96.5,96.5,90.5,91.5,1033630,
19-Jul-2021,91.5,95,87,93.5,827787,
20-Jul-2021,94.5,94.5,89,90.5,478531,
22-Jul-2021,92.5,93,89,90,469168,
23-Jul-2021,92,92,87,87.5,580188,
26-Jul-2021,88,91.5,84.5,91.5,492240,
27-Jul-2021,95,96,94,96,776540,
28-Jul-2021,100.5,100.5,91.5,96,959434,
29-Jul-2021,98,99,93,94,349621,
30-Jul-2021,96,97,92.5,93,329713,
02-Aug-2021,93,95,91.5,92.5,415489,
03-Aug-2021,94,96,92,93.5,524999,
04-Aug-2021,94.5,95,89,89,910024,
05-Aug-2021,89,92,86,90,540364,
06-Aug-2021,90,91.5,87.5,89.5,307524,
09-Aug-2021,90,91,87,87.5,385504,
10-Aug-2021,89,90,83.5,85,473195,
11-Aug-2021,89,89,81,85.5,1160896,
12-Aug-2021,87,87,81.5,83.5,555090,
13-Aug-2021,84,84,79.5,79.5,898719,
16-Aug-2021,79.5,82,76,80.5,537224,
17-Aug-2021,81,82,77.5,79.5,303634,
18-Aug-2021,80,80,76,76.5,372139,
20-Aug-2021,73.5,76.5,73,73,587265,
23-Aug-2021,73.5,75,69.5,70,556214,
24-Aug-2021,66.5,73.5,66.5,73.5,639807,
25-Aug-2021,77,77,77,77,238729,
26-Aug-2021,80.5,80.5,80.5,80.5,343661,
27-Aug-2021,84.5,84.5,84.5,84.5,710621,
30-Aug-2021,84.5,84.5,84.5,84.5,0,
31-Aug-2021,84.5,84.5,84.5,84.5,0,
01-Sep-2021,84.5,84.5,84.5,84.5,0,
02-Sep-2021,84.5,84.5,84.5,84.5,0,
