DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
04-Jul-2021,24350,24475,23905,23949.65,5997,
05-Jul-2021,24130,24799.9,24086.6,24669.2,6148,
06-Jul-2021,24898,24898,24250,24327.25,4452,
07-Jul-2021,24540,24540,24350,24459.3,1412,
08-Jul-2021,24488,24540,24341.2,24473.2,1137,
11-Jul-2021,24600,24637.25,24203.5,24250.55,1592,
12-Jul-2021,24500,24500,24151.1,24242.05,1702,
13-Jul-2021,24241,24349.05,24150,24165.45,983,
14-Jul-2021,24498.95,24500,24156.95,24310.9,1205,
15-Jul-2021,24311,24899,24135.3,24733.65,2768,
18-Jul-2021,24665,24688,24351,24455.5,1248,
19-Jul-2021,24500,24674,23932.95,24258.7,3530,
21-Jul-2021,24449,24720.55,24071,24108,4016,
22-Jul-2021,24300,24300,24000,24216.95,2311,
25-Jul-2021,24217,24962,24090.05,24762.1,3636,
26-Jul-2021,24898,25011.05,24350,24973.9,2613,
27-Jul-2021,24975,24990,24514.75,24742.3,994,
28-Jul-2021,24742.3,24889,24593.75,24842,1094,
29-Jul-2021,24900,24995,24511,24660.9,1458,
01-Aug-2021,24874,24874,24500,24672.55,1022,
02-Aug-2021,24800,24812.85,24352,24665.65,2134,
03-Aug-2021,24750,24850,24335.05,24382,1014,
04-Aug-2021,24400,24600,24110,24416.65,1182,
05-Aug-2021,24455,24620,24354.1,24446.8,926,
08-Aug-2021,24400,24587.85,24155.25,24319.6,991,
09-Aug-2021,24500,24500,23700,23922.7,12585,
10-Aug-2021,23970,24000.05,23500,23692.6,1898,
11-Aug-2021,23810,24966.15,23704.85,24596.85,11674,
12-Aug-2021,24650,24650,24000,24076.2,2093,
15-Aug-2021,24076,24399.4,23800,23842.25,1389,
16-Aug-2021,24100,24100,23695,23780.3,4460,
17-Aug-2021,23827.05,23835.35,23440,23477,15171,
19-Aug-2021,23440.05,23789.95,22700,22839.65,7309,
22-Aug-2021,23199.65,23272.5,22741.95,22799.9,3628,
23-Aug-2021,22950,23228.5,22750.75,23193.25,26375,
24-Aug-2021,23298.85,23389.95,22678.55,22791.5,4147,
25-Aug-2021,22818.05,23100,22760,22828.1,1862,
26-Aug-2021,22705.1,22805.1,22575.25,22643.35,2514,
29-Aug-2021,22688.15,23062.45,22618,22979.1,21577,
30-Aug-2021,23100,24838.3,23100,24391.45,16209,
31-Aug-2021,24391.45,25304,24164.1,25060.1,7005,
01-Sep-2021,25060.1,25368,24400,24543.05,4121,
02-Sep-2021,24900,25000,24400,24537.05,4348,
