DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
04-Jul-2021,12.95,13.55,12.85,12.95,59141,
05-Jul-2021,12.95,13.15,12.55,12.95,26344,
06-Jul-2021,13.25,14.2,13.15,14.2,108895,
07-Jul-2021,14.5,15.6,14.5,15.6,64633,
08-Jul-2021,16.9,17.15,16.25,17.15,67381,
11-Jul-2021,18,18,18,18,22271,
12-Jul-2021,18.8,18.8,17.1,17.1,69130,
13-Jul-2021,16.25,16.25,16.25,16.25,39478,
14-Jul-2021,15.45,15.95,15.45,15.45,60921,
15-Jul-2021,15.45,16.2,14.7,16.2,67766,
18-Jul-2021,16.95,17,16.2,17,33244,
19-Jul-2021,17.85,17.85,16.15,17.05,44196,
21-Jul-2021,17.05,17.05,16.2,16.65,19305,
22-Jul-2021,16.75,17.35,15.85,16.55,6892,
25-Jul-2021,17.3,17.35,15.8,16.05,14807,
26-Jul-2021,16.85,16.85,15.95,16.1,9568,
27-Jul-2021,16.85,16.85,15.5,16.25,6737,
28-Jul-2021,16.35,16.7,15.7,16.05,4883,
29-Jul-2021,15.75,16.5,15.25,16.1,8045,
01-Aug-2021,16.1,16.7,15.4,16,6808,
02-Aug-2021,16.3,16.7,15.6,15.85,9885,
03-Aug-2021,15.55,16.55,15.55,15.75,6004,
04-Aug-2021,15.5,15.75,15,15.25,3022,
05-Aug-2021,15.25,15.5,14.7,15.35,3584,
08-Aug-2021,15.4,15.75,14.6,15.2,8105,
09-Aug-2021,15,15.85,14.75,15,7202,
10-Aug-2021,15.7,15.7,14.25,14.4,5850,
11-Aug-2021,14.75,14.95,14,14.4,4654,
12-Aug-2021,14.7,15.1,14.4,14.5,7629,
15-Aug-2021,14.8,15.15,13.85,14.7,11180,
16-Aug-2021,15.35,15.35,14.2,14.6,1051,
17-Aug-2021,15.25,15.25,14,14.45,4014,
19-Aug-2021,14.2,14.6,13.75,13.9,6904,
22-Aug-2021,13.3,13.95,13.25,13.25,6084,
23-Aug-2021,12.6,13.25,12.6,12.65,5572,
