DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
04-Jul-2021,431,431.3,423.8,429.2,15831,
05-Jul-2021,428.85,450.65,428,436.15,81896,
06-Jul-2021,447.4,457.95,436.05,457.95,149216,
07-Jul-2021,467,480.8,450,473.8,168192,
08-Jul-2021,483,497.45,474.7,489.55,106207,
11-Jul-2021,512.9,514,500.05,514,53208,
12-Jul-2021,528,539.7,512,530.4,150406,
13-Jul-2021,542,556.9,530,553.2,243799,
14-Jul-2021,567.4,580,525.55,525.95,342474,
15-Jul-2021,519,552.2,500.25,552.2,394164,
18-Jul-2021,551,564.8,530.1,538.95,190010,
19-Jul-2021,542.75,549,512.05,514.1,107902,
21-Jul-2021,537,537,519.55,524.85,43838,
22-Jul-2021,531.75,535,508.6,512.15,52715,
25-Jul-2021,519.95,537.75,502.15,532.6,119134,
26-Jul-2021,535,549.85,510.1,516.25,85208,
27-Jul-2021,523.6,523.6,508,511.6,49649,
28-Jul-2021,518.6,521.95,505.1,511.3,25376,
29-Jul-2021,512.05,518.3,505,507.65,41534,
01-Aug-2021,509.95,523.2,509.95,514.85,40060,
02-Aug-2021,520.6,528.7,516.15,519.25,56765,
03-Aug-2021,525,525,500,506,51866,
04-Aug-2021,508.6,512.6,493,496.15,28153,
05-Aug-2021,498.6,518.05,496.05,512.95,45962,
08-Aug-2021,516.6,522.95,504,507.35,28758,
09-Aug-2021,502,521.65,484.6,490.35,51013,
10-Aug-2021,488,515,450,478.4,75201,
11-Aug-2021,485,497,480.05,490.65,31793,
12-Aug-2021,489,504.15,487.3,499.25,25276,
15-Aug-2021,502.6,502.6,481.05,486.05,28219,
16-Aug-2021,488.5,488.5,470.35,478.45,18739,
17-Aug-2021,481,482.55,467.95,471.85,22724,
19-Aug-2021,470,470.7,457.6,459.55,21712,
22-Aug-2021,461,469.95,423.55,431.45,32398,
23-Aug-2021,431.45,468.85,431.45,456.8,23062,
24-Aug-2021,458.6,463.45,444,450.25,29636,
25-Aug-2021,452.6,457,424.9,441.1,31068,
26-Aug-2021,435.2,451,435.2,446.35,21549,
29-Aug-2021,447,466.5,438,450.15,87833,
30-Aug-2021,453.4,466.8,452,462.15,38288,
31-Aug-2021,465.6,472,461,466.05,18699,
01-Sep-2021,469.6,473.9,463,466.15,17141,
02-Sep-2021,463,475.1,463,471.3,17740,
05-Sep-2021,474,479.35,471.05,474.5,10822,
06-Sep-2021,479.6,479.6,465,467.7,11978,
07-Sep-2021,475,475,465.8,469.2,11435,
08-Sep-2021,460.05,474.95,460.05,468.25,16510,
12-Sep-2021,460,474,460,468.7,30727,
13-Sep-2021,471.6,492,469,475.75,41722,
14-Sep-2021,478.55,481.7,470,472.95,42320,
15-Sep-2021,474.7,485,469,477.4,27272,
16-Sep-2021,480.25,482.9,463.5,467.85,34154,
19-Sep-2021,451,474.25,450,451.3,19988,
20-Sep-2021,452,461.4,438.05,454.2,37575,
21-Sep-2021,458,464,443.55,448.45,29940,
22-Sep-2021,456.75,458,442.3,447.5,21611,
23-Sep-2021,449.6,456.25,447,449.35,12564,
26-Sep-2021,449.35,456,446,449.65,11957,
27-Sep-2021,446.15,470,446.15,450.85,31373,
28-Sep-2021,451.9,470,445.65,459.4,26323,
29-Sep-2021,464,464,454.05,458.35,9141,
30-Sep-2021,462,479,455.65,476.05,37331,
03-Oct-2021,483,486,465.5,467.65,43243,
04-Oct-2021,465.5,480,465.5,467.3,29710,
05-Oct-2021,469.6,477.65,466,467.3,26743,
06-Oct-2021,472.6,480,466.2,469.15,27056,
07-Oct-2021,472,473.4,462,464.2,31662,
10-Oct-2021,464,495,461,489.65,101120,
11-Oct-2021,491.4,527.65,489.95,517.35,211669,
12-Oct-2021,520.4,535.45,505,516.2,129809,
13-Oct-2021,510.2,519.7,510.2,514.2,33539,
17-Oct-2021,528,543,520,533.25,131305,
18-Oct-2021,537,543.8,492,503.5,108572,
19-Oct-2021,460,473.75,438.6,445.8,172917,
20-Oct-2021,457.85,459,425,443.65,51616,
21-Oct-2021,450,456.6,435,441.65,59223,
24-Oct-2021,443,450,428.65,431.3,28279,
25-Oct-2021,432.6,450,430.1,446,26127,
26-Oct-2021,451,458,440.05,443.1,15693,
27-Oct-2021,445.4,450,430.05,446.9,30892,
28-Oct-2021,446.1,453.35,431,444.5,48704,
31-Oct-2021,440.05,446.6,435.3,441.25,8408,
01-Nov-2021,440,447.6,437,438.85,14389,
02-Nov-2021,439.95,442.8,426.05,432.5,15755,
03-Nov-2021,435.6,441,435,438.45,1980,
07-Nov-2021,440,443.05,433,436.9,13501,
08-Nov-2021,438.6,444.45,437.6,439.45,13173,
09-Nov-2021,431,440.6,430,432.95,14295,
10-Nov-2021,435,439.75,420,423.35,25883,
11-Nov-2021,435,435,422,427.7,12798,
14-Nov-2021,430,431.95,418,420.55,19469,
15-Nov-2021,420,425.55,416.45,420.5,13286,
16-Nov-2021,420,427.95,413,415.3,16153,
17-Nov-2021,411.05,417.5,406.1,408.45,13168,
21-Nov-2021,417,417,391.5,394.55,21429,
22-Nov-2021,392,410,391.55,402.65,7997,
23-Nov-2021,405.45,418,402.05,409.25,17305,
24-Nov-2021,409,414.4,397.55,401.95,12031,
25-Nov-2021,398,401.5,372.9,377.25,31702,
28-Nov-2021,377.25,394.5,356.2,374.85,25491,
29-Nov-2021,370,410,370,395.3,39853,
30-Nov-2021,398,416,383.4,388.35,23365,
01-Dec-2021,394.45,415,391,405.9,26431,
02-Dec-2021,406,421,406,415.35,30261,
05-Dec-2021,411,421,410,415.55,15375,
06-Dec-2021,415,420.05,415,418.9,8377,
07-Dec-2021,425,425.7,420,422.9,6250,
08-Dec-2021,428.7,430,413.35,416.7,9159,
09-Dec-2021,424.85,426.9,411.55,418.4,11315,
12-Dec-2021,421.6,436.05,412,431.75,28480,
13-Dec-2021,430,438.4,421,429.25,11434,
14-Dec-2021,428.05,435.6,427,430.65,8734,
15-Dec-2021,433.6,445.8,433,439.25,20889,
16-Dec-2021,438.5,440.75,415,416.75,16654,
19-Dec-2021,416.75,416.75,400.1,401.2,16897,
20-Dec-2021,401.2,414.5,401.2,405.4,4857,
21-Dec-2021,415.8,415.8,407,411.45,5272,
22-Dec-2021,411.65,420,410,415.05,6225,
23-Dec-2021,416,425.8,402.1,408.75,23148,
26-Dec-2021,405,410.05,403,407.6,4486,
27-Dec-2021,417,417,404.1,407.7,7688,
28-Dec-2021,407.7,413.75,403.05,405.5,6696,
29-Dec-2021,410.8,412.2,386.95,393.4,20966,
30-Dec-2021,398.4,409,395,403.35,12846,
02-Jan-2022,405.4,421.95,405.4,420.35,19117,
03-Jan-2022,428.85,438,419.35,422.2,36658,
04-Jan-2022,423,459.5,423,444.55,97287,
05-Jan-2022,433.1,449.05,433.1,440.9,23884,
06-Jan-2022,443,463.5,438,449.3,65465,
09-Jan-2022,451.45,460,431.1,435.4,88731,
10-Jan-2022,420,425,411.25,422.55,107855,
11-Jan-2022,429.95,429.95,415,424.5,69221,
12-Jan-2022,434,434,420.4,425.15,27040,
13-Jan-2022,432,432,422,423.25,23431,
16-Jan-2022,434.95,445.4,423.2,424.8,68660,
17-Jan-2022,422.1,431.2,414.4,417.65,41609,
18-Jan-2022,424,424,409,413.65,39790,
19-Jan-2022,418.7,418.7,396.5,399.95,81744,
20-Jan-2022,395.1,404.45,385,386.5,97225,
23-Jan-2022,395,395,350,352.4,64644,
24-Jan-2022,357.45,375.15,348.45,367.7,23055,
26-Jan-2022,369.45,377.5,363.55,368.4,18449,
27-Jan-2022,379.9,386,361.55,366.2,35608,
30-Jan-2022,371.5,380.25,371.05,375.1,17522,
31-Jan-2022,379.45,382,370.75,373.05,20498,
01-Feb-2022,388,407,385.5,402.4,129111,
02-Feb-2022,408,409.2,395.15,399.4,62017,
03-Feb-2022,407,407,395,396.55,24080,
06-Feb-2022,403,403.15,390.55,393.25,25179,
07-Feb-2022,400,400,385.1,387.05,15853,
08-Feb-2022,392.85,392.85,383.4,384.85,11237,
09-Feb-2022,390.6,394.4,384.3,389.65,12666,
10-Feb-2022,389,393,372,377.25,24352,
13-Feb-2022,377,377,361.05,365.2,17012,
14-Feb-2022,372.5,382,352.15,360.6,37652,
15-Feb-2022,368,375.85,365.1,366.55,18145,
16-Feb-2022,368,375.15,362.5,364,10586,
17-Feb-2022,362.5,370,358.55,361.65,12530,
20-Feb-2022,367,367,344.3,349.9,27166,
21-Feb-2022,333,345.75,325,332.8,25513,
22-Feb-2022,347,347.95,338.45,344.35,15335,
23-Feb-2022,335.35,335.35,293.6,311.6,56583,
24-Feb-2022,321.7,331.9,318,325.9,27719,
27-Feb-2022,320,339,313.7,329.65,15645,
01-Mar-2022,329.65,332.95,323,324.4,26781,
02-Mar-2022,328,334.45,328,332.05,9583,
03-Mar-2022,336.9,336.9,321.15,326.1,10629,
06-Mar-2022,326.1,326.1,296.75,305.75,31838,
07-Mar-2022,314.95,314.95,296.75,298.65,30461,
08-Mar-2022,300.5,315.9,300.5,309.05,18677,
09-Mar-2022,321.9,321.9,306.25,307.5,27450,
10-Mar-2022,307.9,322.95,305,312.5,32461,
13-Mar-2022,320,320,305.95,307,21805,
14-Mar-2022,309,314.95,302.1,305.55,20855,
15-Mar-2022,310.6,316.3,308.4,312.7,40776,
16-Mar-2022,316,375.2,316,373.25,210102,
20-Mar-2022,395.1,404,363.55,367.85,232560,
21-Mar-2022,368.9,377.8,356,362.35,34192,
22-Mar-2022,367,373.65,352.2,357.7,38784,
23-Mar-2022,350,357.75,346.35,350.35,23193,
24-Mar-2022,352.5,360,333.55,339.6,32509,
27-Mar-2022,342.6,360,340.85,351.95,45259,
28-Mar-2022,354.5,360,348,350.9,23782,
29-Mar-2022,353.9,357.4,351.7,353.15,38363,
30-Mar-2022,358,358,342,344.7,32018,
31-Mar-2022,348.6,375,346,369.5,68332,
03-Apr-2022,379,390,376,378.95,71189,
04-Apr-2022,382.35,385.55,372.85,376.7,32137,
05-Apr-2022,375,380,371,374.05,33556,
06-Apr-2022,374,379.25,363,371.3,27695,
07-Apr-2022,367.5,385,367.5,381.35,36907,
10-Apr-2022,381.35,381.45,371.2,376.15,38061,
11-Apr-2022,378.35,378.35,362.05,371.35,19373,
12-Apr-2022,376.85,376.85,369,370.85,10887,
17-Apr-2022,375.45,375.45,360,364.8,19774,
18-Apr-2022,370.25,385,349.95,360.35,33515,
19-Apr-2022,367.8,372.4,356.15,360.7,19586,
20-Apr-2022,369.45,387.5,367.95,381.45,119221,
21-Apr-2022,382.9,387.35,376,379.25,53174,
24-Apr-2022,377.9,379,362.6,369.55,29045,
25-Apr-2022,373,394.75,366.6,374.6,106526,
26-Apr-2022,366,373,360,366.8,59033,
27-Apr-2022,384,384,363,365.95,90550,
28-Apr-2022,371.1,371.2,357.8,360.5,44215,
01-May-2022,352.1,359.8,332.3,339.9,89561,
03-May-2022,348,354.95,331.9,337.1,40808,
04-May-2022,343.85,344.35,325,329.8,29777,
05-May-2022,324,325.65,317.05,320.65,31720,
08-May-2022,320.65,322.9,304.8,317.6,24025,
09-May-2022,321.5,321.5,310.15,313.3,17516,
10-May-2022,318,320.65,300.85,314.75,23399,
11-May-2022,310,313.85,300,302.75,11887,
12-May-2022,315.6,319,305,307,14636,
15-May-2022,311.6,328.45,308.05,321.3,14355,
16-May-2022,330,330,320.65,326.4,14581,
17-May-2022,336,340,320,324.4,21065,
18-May-2022,318,319.55,308,314,14635,
19-May-2022,324.9,336.75,316.2,328.45,14439,
22-May-2022,335.05,337.4,312.45,315.65,14579,
23-May-2022,320,320,305,307.35,11976,
24-May-2022,314.5,314.5,300.2,303.95,10096,
25-May-2022,308.45,314.35,299.25,307.35,11734,
26-May-2022,313,324,310,319.75,13488,
29-May-2022,329.9,332.3,324,326.15,7377,
30-May-2022,322,329.55,319.25,325.4,9550,
31-May-2022,329,329,316.55,319.85,7011,
01-Jun-2022,314,319.9,307.25,312.45,18670,
02-Jun-2022,317.05,320.35,310,315.1,11477,
05-Jun-2022,314,319.9,310.35,314.85,9547,
06-Jun-2022,319.25,319.25,312,314.95,3291,
07-Jun-2022,319,322.8,311,312.15,14828,
08-Jun-2022,316,316,309.1,310.75,15190,
09-Jun-2022,314,321,310.25,316.2,7531,
12-Jun-2022,310,315.9,303.6,312.25,16530,
13-Jun-2022,303.5,312,303.5,305.7,26107,
14-Jun-2022,310,310,302,303.1,7725,
15-Jun-2022,311,311,283,287.45,28612,
16-Jun-2022,285.05,289.65,283,284.4,10463,
19-Jun-2022,299,299,267.6,274.6,18290,
20-Jun-2022,285,307.4,270,295.95,27278,
21-Jun-2022,304.9,304.9,285.05,287.5,8353,
22-Jun-2022,297,297,280,282.7,8134,
23-Jun-2022,287,298,285.9,293.45,9898,
26-Jun-2022,299.45,302.95,288,292.75,29210,
27-Jun-2022,291.7,303,287.05,298.95,12794,
28-Jun-2022,297,302.8,294.35,300.65,4401,
29-Jun-2022,302,308,287.6,294.15,15640,
30-Jun-2022,292,299.1,292,296.4,5721,
03-Jul-2022,298.5,305.4,287.5,291.9,29780,
04-Jul-2022,292,294.9,283,285.8,30217,
05-Jul-2022,287.65,289.2,268.3,271.35,54435,
