DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
04-Jul-2021,94.2,94.2,90.1,90.7,78862,
05-Jul-2021,92,92,89.6,90.5,53681,
06-Jul-2021,90.8,91,89,90.05,23922,
07-Jul-2021,90,91,88.5,89.55,42712,
08-Jul-2021,88.6,91,88.6,89.95,23069,
11-Jul-2021,90.9,91,89,89.3,29919,
12-Jul-2021,90.75,90.75,88.8,89.35,20021,
13-Jul-2021,90.4,90.4,88.5,89.7,32686,
14-Jul-2021,90,92,89.1,90.55,30575,
15-Jul-2021,92.1,95.05,89.9,94.5,143381,
18-Jul-2021,95.05,99.2,93,99.2,227826,
19-Jul-2021,102.85,104.15,96.3,104.15,453565,
21-Jul-2021,108.65,109.35,106.1,109.35,142443,
22-Jul-2021,114.8,114.8,109.35,111.15,1521504,
25-Jul-2021,110.1,111.7,105.6,105.6,273915,
26-Jul-2021,104.4,104.5,100.35,100.35,247270,
27-Jul-2021,98.1,102.45,95.6,96.65,229564,
28-Jul-2021,101.25,101.45,97.25,101.45,119695,
29-Jul-2021,104.25,104.45,99.25,100.8,136068,
01-Aug-2021,100,105.8,99.3,103.6,326478,
02-Aug-2021,104.4,108.75,102.95,108.75,345373,
03-Aug-2021,109,113.8,104,106,392387,
04-Aug-2021,106.4,110.5,102.25,107.1,287687,
05-Aug-2021,107.65,107.65,103.2,103.95,111748,
08-Aug-2021,105,106.85,100,100.7,69857,
09-Aug-2021,102,103.9,95.7,96.8,154570,
10-Aug-2021,97.45,99.9,92,96.45,119711,
11-Aug-2021,98.9,100.9,97.05,99.3,58727,
12-Aug-2021,97,98.8,95,95.65,74677,
15-Aug-2021,96,96,91.1,91.55,78177,
16-Aug-2021,92.05,96,91.1,92.8,77665,
17-Aug-2021,94.9,94.9,90.2,91.25,51402,
19-Aug-2021,90.2,92.95,90,91.6,47508,
22-Aug-2021,94.9,94.9,87.2,88.3,60488,
23-Aug-2021,90.95,92.7,87.65,92.7,45294,
24-Aug-2021,92.7,96.9,91.45,93.1,92964,
25-Aug-2021,93.15,97.75,90.1,96.8,174075,
26-Aug-2021,98.2,98.2,95.1,95.7,50861,
29-Aug-2021,96.4,97.9,93.8,94.1,75477,
30-Aug-2021,94.6,95,92.25,92.7,35757,
31-Aug-2021,95.15,95.15,92.25,93.15,43628,
01-Sep-2021,92.55,97.8,92.55,94.8,150447,
02-Sep-2021,93.75,99.45,93.75,96.8,136393,
05-Sep-2021,97.5,99,93.65,95.95,137290,
06-Sep-2021,98,98.05,94.15,94.9,34217,
07-Sep-2021,94.9,96,93.25,94,37303,
08-Sep-2021,93.8,96.45,92.95,95.8,45423,
12-Sep-2021,92.1,94.9,92.1,93.25,38046,
13-Sep-2021,93.4,97.4,93.4,96,57908,
14-Sep-2021,96.75,97.9,95,95.35,39307,
15-Sep-2021,95.5,97.25,93.7,95.15,75910,
16-Sep-2021,95.05,96,93.8,94.85,61146,
19-Sep-2021,94.05,95.9,92.05,92.9,48042,
20-Sep-2021,93.5,94.2,91.5,92.3,32137,
21-Sep-2021,92.45,95.4,92,94.1,48756,
22-Sep-2021,94.5,95.9,92.5,93.1,41884,
23-Sep-2021,93.8,93.9,90.45,92.35,45244,
26-Sep-2021,91.7,96.95,91.7,93.6,85004,
27-Sep-2021,94,94.95,92.05,93.75,40527,
28-Sep-2021,93.8,93.8,91,93,43820,
29-Sep-2021,93,94.35,92.25,92.8,35295,
30-Sep-2021,92.5,93,91.85,92.15,36669,
03-Oct-2021,92.85,93.3,91.8,92.2,73468,
04-Oct-2021,92.15,96.15,91.5,94.05,108151,
05-Oct-2021,94.75,95.75,92.2,92.9,84025,
06-Oct-2021,94,96.25,93.05,95.35,92995,
07-Oct-2021,95.5,104.85,94.5,104.85,824778,
10-Oct-2021,104.85,111.35,101.4,107.4,780023,
11-Oct-2021,108.4,108.4,102.8,105.75,214376,
12-Oct-2021,106.95,106.95,102,102.7,134974,
13-Oct-2021,103.6,105.75,100,100.5,131537,
17-Oct-2021,102,105.5,100.85,101.75,110352,
18-Oct-2021,101.5,103.4,99,99.8,86828,
19-Oct-2021,101.15,101.15,97.9,98.45,69840,
