DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
02-Jul-2021,37.57,40.09,37.57,38.81,22500,
05-Jul-2021,37.57,37.57,35.7,36.27,45000,
06-Jul-2021,35.25,35.25,35.03,35.12,9000,
07-Jul-2021,33.72,33.79,33.72,33.79,9000,
08-Jul-2021,33.82,33.88,33.82,33.88,9000,
09-Jul-2021,35.63,35.63,35.63,35.63,4500,
12-Jul-2021,35,37.54,35,37.54,81000,
13-Jul-2021,36.94,36.94,36.9,36.9,9000,
14-Jul-2021,36.9,36.9,36.9,36.9,0,
15-Jul-2021,38.18,38.18,36.52,36.52,22500,
16-Jul-2021,36.52,36.52,36.3,36.3,9000,
19-Jul-2021,36.9,37.19,36.9,37.19,54000,
20-Jul-2021,36.33,36.33,34.36,34.36,22500,
22-Jul-2021,35.47,35.47,35.47,35.47,4500,
23-Jul-2021,35.12,35.15,33.75,33.75,166500,
26-Jul-2021,34.2,34.2,33.09,33.63,58500,
27-Jul-2021,33.63,33.63,33.63,33.63,4500,
28-Jul-2021,33.63,33.63,33.63,33.63,0,
29-Jul-2021,31.81,32.13,30.73,31.81,36000,
30-Jul-2021,32.45,32.45,32.45,32.45,4500,
02-Aug-2021,31.81,32.26,31.3,31.5,22500,
03-Aug-2021,31.81,32.45,31.5,31.5,13500,
04-Aug-2021,31.34,31.34,30.89,30.89,13500,
05-Aug-2021,30.89,30.89,30.89,30.89,0,
06-Aug-2021,30.54,30.54,29.94,29.94,9000,
09-Aug-2021,29.27,29.91,28.66,28.66,18000,
10-Aug-2021,28,29.91,28,28.06,99000,
11-Aug-2021,28.06,28.06,28.06,28.06,0,
12-Aug-2021,28.03,28.63,28,28.63,18000,
13-Aug-2021,28.63,28.63,28.63,28.63,0,
16-Aug-2021,29.91,29.91,29.91,29.91,4500,
17-Aug-2021,29.91,29.91,28.47,28.63,27000,
18-Aug-2021,28.63,28.63,28.63,28.63,4500,
20-Aug-2021,28.79,28.79,28,28,58500,
23-Aug-2021,28.12,28.73,28,28.73,45000,
24-Aug-2021,28.73,28.73,28.73,28.73,0,
25-Aug-2021,28.73,28.73,28.73,28.73,0,
26-Aug-2021,28.31,28.31,28,28,63000,
27-Aug-2021,29.27,29.91,29.27,29.91,288000,
30-Aug-2021,29.27,29.27,28.66,28.66,9000,
31-Aug-2021,28.66,28.66,28.66,28.66,0,
01-Sep-2021,28.63,28.95,28.63,28.95,13500,
02-Sep-2021,28.95,28.95,28.95,28.95,0,
03-Sep-2021,28.31,28.31,28.31,28.31,9000,
06-Sep-2021,28.31,29.91,28.31,28.63,153000,
07-Sep-2021,28.63,28.63,28.63,28.63,0,
08-Sep-2021,30.51,30.51,29.87,30.22,243000,
09-Sep-2021,30.54,30.87,30.54,30.87,13500,
13-Sep-2021,31.51,32.15,31.51,31.51,54000,
14-Sep-2021,30.87,31.83,30.87,31.83,94500,
15-Sep-2021,30.32,31.51,30.32,31.51,9000,
16-Sep-2021,32.15,32.15,31.9,32.12,13500,
17-Sep-2021,31.51,31.51,31.51,31.51,4500,
20-Sep-2021,31.83,31.83,31.83,31.83,135000,
21-Sep-2021,32.15,32.15,30.87,30.87,9000,
22-Sep-2021,30.93,30.93,30.9,30.9,9000,
23-Sep-2021,32.15,32.22,32.15,32.22,13500,
24-Sep-2021,32.8,33.44,32.8,33.44,13500,
27-Sep-2021,32.8,34.08,32.8,34.08,9000,
28-Sep-2021,34.08,34.08,34.08,34.08,0,
29-Sep-2021,32.86,32.86,32.15,32.15,22500,
30-Sep-2021,33.44,33.44,33.44,33.44,4500,
01-Oct-2021,33.44,33.44,33.44,33.44,0,
04-Oct-2021,33.44,33.44,33.44,33.44,0,
05-Oct-2021,33.44,33.44,33.44,33.44,0,
06-Oct-2021,32.15,32.15,32.15,32.15,4500,
07-Oct-2021,32.15,32.15,32.15,32.15,0,
08-Oct-2021,32.15,32.15,32.15,32.15,0,
11-Oct-2021,32.15,32.15,32.15,32.15,0,
12-Oct-2021,32.15,32.8,32.15,32.8,22500,
13-Oct-2021,32.8,32.8,32.8,32.8,0,
14-Oct-2021,32.8,37.3,32.8,37.3,49500,
18-Oct-2021,38.42,41.8,38.42,41.15,67500,
19-Oct-2021,41.15,41.15,41.15,41.15,0,
20-Oct-2021,41.15,41.15,41.15,41.15,0,
21-Oct-2021,39.87,39.87,39.87,39.87,4500,
22-Oct-2021,38.61,39.77,38.58,39.77,22500,
25-Oct-2021,39.77,39.77,39.77,39.77,0,
26-Oct-2021,38.58,38.58,38.58,38.58,4500,
27-Oct-2021,38.58,38.58,38.58,38.58,0,
28-Oct-2021,37.94,37.94,37.94,37.94,9000,
29-Oct-2021,37.3,37.3,37.3,37.3,4500,
01-Nov-2021,37.3,37.3,36.65,36.65,9000,
02-Nov-2021,36.65,36.65,36.65,36.65,0,
03-Nov-2021,36.01,36.01,35.69,35.69,13500,
04-Nov-2021,36.01,39.23,36.01,38.9,31500,
08-Nov-2021,37.3,37.3,36.65,36.65,13500,
09-Nov-2021,36.01,36.65,36.01,36.65,9000,
10-Nov-2021,36.65,36.65,36.65,36.65,0,
11-Nov-2021,36.65,36.65,36.65,36.65,0,
12-Nov-2021,36.01,36.01,36.01,36.01,4500,
15-Nov-2021,36.01,36.01,36.01,36.01,0,
16-Nov-2021,36.01,36.01,36.01,36.01,0,
17-Nov-2021,36.01,36.01,36.01,36.01,0,
18-Nov-2021,36.01,36.01,36.01,36.01,0,
22-Nov-2021,36.01,36.01,36.01,36.01,9000,
23-Nov-2021,36.01,36.01,36.01,36.01,0,
24-Nov-2021,36.01,36.01,36.01,36.01,0,
25-Nov-2021,37.3,38.78,37.3,38.58,31500,
26-Nov-2021,39.87,39.87,38.58,38.58,36000,
29-Nov-2021,38.58,38.58,38.58,38.58,4500,
30-Nov-2021,38.58,38.58,38.58,38.58,0,
01-Dec-2021,38.58,38.58,38.58,38.58,0,
02-Dec-2021,38.58,38.58,38.58,38.58,0,
03-Dec-2021,41.15,41.8,41.15,41.15,18000,
06-Dec-2021,41.15,43.08,41.15,41.8,27000,
07-Dec-2021,41.15,41.15,41.15,41.15,4500,
08-Dec-2021,41.15,41.15,41.15,41.15,0,
09-Dec-2021,40.51,40.51,39.87,39.87,13500,
10-Dec-2021,41.15,41.15,41.15,41.15,4500,
13-Dec-2021,41.15,41.15,41.15,41.15,0,
14-Dec-2021,41.15,41.15,41.15,41.15,0,
15-Dec-2021,41.15,41.15,41.15,41.15,0,
16-Dec-2021,39.23,39.23,39.23,39.23,4500,
17-Dec-2021,39.23,39.23,39.23,39.23,0,
20-Dec-2021,39.23,39.23,39.23,39.23,0,
21-Dec-2021,39.23,39.23,39.23,39.23,0,
22-Dec-2021,39.23,39.23,39.23,39.23,0,
23-Dec-2021,37.33,37.33,37.33,37.33,4500,
24-Dec-2021,39.23,39.23,38.58,38.58,9000,
27-Dec-2021,38.58,38.58,38.58,38.58,0,
28-Dec-2021,38.58,38.58,38.58,38.58,0,
29-Dec-2021,38.58,38.58,38.58,38.58,4500,
30-Dec-2021,38.58,38.58,38.58,38.58,0,
31-Dec-2021,37.94,37.94,37.94,37.94,9000,
03-Jan-2022,39.23,39.23,39.23,39.23,4500,
04-Jan-2022,39.23,39.23,39.23,39.23,4500,
05-Jan-2022,39.23,39.23,39.23,39.23,0,
06-Jan-2022,39.23,39.23,39.23,39.23,0,
07-Jan-2022,39.87,40,39.87,40,9000,
10-Jan-2022,41.15,41.8,39.29,41.8,31500,
11-Jan-2022,43.08,46.3,43.08,45.66,153000,
12-Jan-2022,46.3,46.94,43.08,43.08,49500,
13-Jan-2022,43.08,43.08,43.08,43.08,0,
14-Jan-2022,43.08,43.08,43.08,43.08,0,
17-Jan-2022,43.08,43.08,43.08,43.08,0,
18-Jan-2022,43.08,43.08,43.08,43.08,0,
19-Jan-2022,43.73,43.73,43.73,43.73,18000,
20-Jan-2022,43.73,43.73,43.73,43.73,4500,
21-Jan-2022,45.01,45.66,44.37,44.37,31500,
24-Jan-2022,43.73,43.73,41.8,41.83,31500,
25-Jan-2022,41.83,41.83,41.83,41.83,0,
27-Jan-2022,41.8,41.8,41.8,41.8,4500,
28-Jan-2022,41.8,41.8,41.8,41.8,0,
31-Jan-2022,41.8,41.8,41.8,41.8,0,
01-Feb-2022,41.8,41.8,41.8,41.8,0,
02-Feb-2022,41.8,41.8,41.8,41.8,0,
03-Feb-2022,41.8,41.8,41.8,41.8,0,
04-Feb-2022,41.8,41.8,41.8,41.8,0,
07-Feb-2022,45.66,45.66,45.01,45.01,9000,
08-Feb-2022,44.37,45.66,44.37,45.05,130500,
09-Feb-2022,46.3,46.3,45.01,45.66,166500,
10-Feb-2022,44.37,44.37,44.37,44.37,4500,
11-Feb-2022,45.66,45.66,45.66,45.66,112500,
14-Feb-2022,44.37,44.37,43.73,43.73,13500,
15-Feb-2022,43.73,43.73,43.73,43.73,0,
16-Feb-2022,44.56,45.66,44.56,45.66,40500,
17-Feb-2022,45.01,45.66,45.01,45.66,81000,
18-Feb-2022,45.66,45.66,45.66,45.66,0,
21-Feb-2022,44.37,44.37,44.37,44.37,4500,
22-Feb-2022,44.37,44.37,44.37,44.37,0,
23-Feb-2022,44.37,44.37,44.37,44.37,0,
24-Feb-2022,43.73,43.73,43.08,43.08,58500,
25-Feb-2022,43.08,43.08,43.08,43.08,9000,
28-Feb-2022,43.08,43.08,43.08,43.08,0,
02-Mar-2022,42.44,45.66,42.44,44.69,13500,
03-Mar-2022,45.66,45.66,44.69,45.01,135000,
04-Mar-2022,45.01,45.01,45.01,45.01,0,
07-Mar-2022,45.01,45.01,45.01,45.01,0,
08-Mar-2022,43.73,44.37,43.73,44.37,9000,
09-Mar-2022,44.37,44.37,44.37,44.37,0,
10-Mar-2022,44.37,44.37,44.37,44.37,0,
11-Mar-2022,43.73,43.73,43.73,43.73,4500,
14-Mar-2022,43.73,43.73,43.73,43.73,0,
15-Mar-2022,43.73,43.73,43.73,43.73,0,
16-Mar-2022,45.01,46.3,45.01,45.66,9000,
17-Mar-2022,44.37,45.01,44.37,45.01,94500,
21-Mar-2022,45.01,45.01,45.01,45.01,0,
