DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
14-May-2024,315,343.7,292,329.45,71401006,
15-May-2024,342.5,362.35,341,361.1,26767907,
16-May-2024,365,371.3,345.2,351.15,11970918,
17-May-2024,351.5,354.6,347.25,348.3,812114,
20-May-2024,345.1,349.7,337,342.7,3451610,
21-May-2024,342.05,348.75,336,343.35,2578275,
22-May-2024,342,346,330.6,333.35,1932691,
23-May-2024,331.35,344.05,330.75,341.9,1967592,
26-May-2024,342.7,343.7,334.05,340.35,1155410,
27-May-2024,340,343.7,329.2,331.4,1531935,
28-May-2024,330,340.5,330,338.8,1311578,
29-May-2024,340,347.2,338.6,340.05,2451103,
30-May-2024,344,345,338.45,343.5,1070427,
02-Jun-2024,352,352,342.3,347.9,1412802,
03-Jun-2024,345,345.9,315,334.9,2827855,
04-Jun-2024,335,341.8,316,339.2,899800,
05-Jun-2024,345,354.2,342,346.1,1353606,
06-Jun-2024,346.1,369,343.05,366.2,3637561,
09-Jun-2024,365,398,365,385.55,3766316,
10-Jun-2024,397.3,404,376.05,380.1,3261149,
11-Jun-2024,383,392.9,377.8,390.75,1980788,
12-Jun-2024,395,397.75,386.1,395.5,1523716,
13-Jun-2024,398,431.85,396.5,420.15,4444304,
17-Jun-2024,425.4,432.45,409.5,413.85,1689479,
18-Jun-2024,418,419.2,400.4,402.75,1546366,
19-Jun-2024,404,424.2,393.5,397.25,2661359,
20-Jun-2024,399,408.5,386.7,396.2,1422794,
23-Jun-2024,394,400.65,385.55,388.2,1187350,
24-Jun-2024,390.1,394,385,390.3,893183,
25-Jun-2024,392.4,412.5,389.2,407.75,2187950,
26-Jun-2024,410.2,428.6,405.15,413.15,2066538,
27-Jun-2024,416.05,417.3,402.15,408.75,757998,
30-Jun-2024,408.55,430,406.2,418.85,1283257,
01-Jul-2024,417.95,426,411.65,422.6,1118761,
02-Jul-2024,428,445.95,421.85,440.05,2692765,
