DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
02-Jul-2021,39.48,41.45,39.48,41.38,37126,
05-Jul-2021,42.34,43.45,39.8,42.64,40622,
06-Jul-2021,42.64,44.75,42.64,44.51,23668,
07-Jul-2021,44.53,46.72,42.29,46.38,35092,
08-Jul-2021,46.36,46.4,44.21,45.94,16464,
09-Jul-2021,45.03,48.23,43.72,48.23,38116,
12-Jul-2021,50.62,50.62,50.62,50.62,152504,
13-Jul-2021,53.1,53.13,53.1,53.13,92676,
14-Jul-2021,55.76,55.76,53.2,55.76,296428,
15-Jul-2021,56.63,58.55,52.98,58.55,124716,
16-Jul-2021,61.08,61.45,58.62,60.03,81102,
19-Jul-2021,57.22,60.1,57.04,57.81,48582,
20-Jul-2021,58.6,58.6,54.93,54.95,59202,
22-Jul-2021,52.22,57.51,52.22,55.91,50816,
23-Jul-2021,55.91,58.7,55.91,58.7,23320,
26-Jul-2021,61.63,61.63,59.11,61.63,35556,
27-Jul-2021,64.71,64.71,62.29,64.16,72184,
28-Jul-2021,61.6,66.01,60.96,64.53,37432,
29-Jul-2021,67,67,61.58,62.66,22284,
30-Jul-2021,63.25,63.5,59.53,59.71,33870,
02-Aug-2021,61.82,61.82,56.72,57.59,53104,
03-Aug-2021,56.72,58.62,55.03,57.17,68854,
04-Aug-2021,55.67,59.58,55.67,57.12,22980,
05-Aug-2021,57.27,57.34,54.73,55.12,27256,
06-Aug-2021,56.65,57.86,55.37,57,23476,
09-Aug-2021,59.06,59.06,54.16,54.16,46068,
10-Aug-2021,52.34,56.65,51.48,51.65,44792,
11-Aug-2021,50.94,54.21,49.53,54.16,34762,
12-Aug-2021,55.67,55.67,51.87,53.92,16476,
13-Aug-2021,53.94,54.56,51.23,51.5,48066,
16-Aug-2021,52.54,52.73,50.76,51.08,10874,
17-Aug-2021,52.12,52.12,48.55,49.56,21250,
18-Aug-2021,49.56,51.7,49.56,51.01,5492,
20-Aug-2021,50.49,50.74,48.55,49.16,14198,
23-Aug-2021,49.16,50.74,46.8,47.73,9092,
24-Aug-2021,49.26,49.75,45.37,47.02,29212,
25-Aug-2021,46.8,48.03,46.8,47.19,6656,
26-Aug-2021,47.19,49.11,46.23,48.08,16140,
27-Aug-2021,47.32,50.47,47.32,50.47,19358,
30-Aug-2021,52.96,52.98,50.37,51.18,34414,
31-Aug-2021,53.52,53.52,49.29,50.84,15516,
01-Sep-2021,49.31,51.72,48.65,49.88,20434,
02-Sep-2021,48.45,52.22,48.45,51.26,14956,
03-Sep-2021,52.32,52.32,49.73,50.25,11658,
06-Sep-2021,49.43,50.74,49.43,50.3,5252,
07-Sep-2021,52.19,52.19,49.29,50.25,5552,
08-Sep-2021,50.57,50.64,48.52,49.34,17584,
09-Sep-2021,49.75,51.7,48.77,49.34,9912,
13-Sep-2021,50.35,51.8,49.88,51.65,28860,
14-Sep-2021,53.2,53.2,51.77,52.39,9150,
15-Sep-2021,54.09,54.09,50.79,50.81,16824,
16-Sep-2021,52.22,53.18,49.93,50.64,28542,
17-Sep-2021,51.58,51.58,49.26,49.75,10224,
20-Sep-2021,50.07,50.07,47.27,48.35,9382,
21-Sep-2021,48.18,50.76,46.9,49.78,16614,
22-Sep-2021,48.77,50.25,47.29,49.75,23752,
23-Sep-2021,49.93,50.42,48.79,49.16,4556,
24-Sep-2021,48.79,50.89,48.79,50.15,4456,
27-Sep-2021,50.81,50.84,49.14,50.49,8870,
28-Sep-2021,51.23,51.48,48.05,48.62,22480,
29-Sep-2021,50.2,50.2,48.28,48.47,8910,
30-Sep-2021,48.28,49.26,47.86,48.42,8440,
01-Oct-2021,50.84,50.84,48.52,48.92,6052,
04-Oct-2021,48.97,51.36,48.97,50.76,28180,
05-Oct-2021,51.48,53.3,51.16,53.3,23258,
06-Oct-2021,55.96,55.96,52.37,55.96,31806,
07-Oct-2021,58.62,58.74,56.65,58.6,23954,
08-Oct-2021,59.83,60.59,55.69,55.94,25702,
11-Oct-2021,58.08,58.08,54.21,56.01,13126,
12-Oct-2021,56.6,56.6,54.56,55.64,5266,
13-Oct-2021,54.21,56.31,53.01,53.87,15310,
14-Oct-2021,52.88,55.35,51.63,52.73,17872,
18-Oct-2021,52.86,54.19,50.27,51.58,32422,
