DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
09-Jul-2023,131,139.9,117.4,117.4,737360,
10-Jul-2023,120,129.1,111,129.1,465791,
11-Jul-2023,133,135.55,122.65,122.7,434261,
12-Jul-2023,121,123.45,116.6,116.6,43923,
13-Jul-2023,118.9,118.9,110.8,110.8,57444,
16-Jul-2023,107,112.8,105.3,105.3,79383,
17-Jul-2023,101,103.55,100.05,100.05,32015,
18-Jul-2023,100.05,105.05,95.05,103.4,76721,
19-Jul-2023,106.5,108.55,103.7,108.55,35688,
20-Jul-2023,112.5,113.95,110.6,113.95,28604,
23-Jul-2023,117.75,119,112.2,116.4,17914,
24-Jul-2023,112.95,122.2,110.7,122.2,55193,
25-Jul-2023,127.75,128.3,119,128.2,55224,
26-Jul-2023,130.95,134.6,123,129.1,23129,
27-Jul-2023,129.9,135.3,129,132.15,19636,
30-Jul-2023,132.2,135.2,129,131.15,6058,
31-Jul-2023,134.9,134.9,126.55,129.15,5487,
01-Aug-2023,129,132.45,122.75,123.45,6259,
02-Aug-2023,125.05,129.6,125,128.55,6422,
03-Aug-2023,134.95,134.95,122.15,122.15,76664,
06-Aug-2023,124.9,128.25,116.05,116.05,308597,
07-Aug-2023,110.4,121.85,110.25,121.05,353274,
08-Aug-2023,121.8,127.1,117,124.8,100989,
09-Aug-2023,124.1,124.1,119,119.95,27756,
10-Aug-2023,115.5,125.9,115.5,125.75,63120,
13-Aug-2023,125.95,132,122.75,131.95,83618,
15-Aug-2023,138.5,138.5,131.95,138.3,205179,
16-Aug-2023,139,145.2,139,145.1,136119,
17-Aug-2023,151.7,152.35,149.15,152.25,119525,
20-Aug-2023,159.85,159.85,146.6,159.85,158267,
21-Aug-2023,161,161,151.85,151.85,113812,
22-Aug-2023,151.8,151.8,144.25,144.25,26765,
23-Aug-2023,141,147,137.05,138.5,11334,
24-Aug-2023,138.5,145.4,133.2,144.1,10061,
27-Aug-2023,148,151.3,138.05,150.75,28838,
28-Aug-2023,151,158.25,146,157.65,30600,
29-Aug-2023,163.9,164,157.65,160.6,46133,
30-Aug-2023,161.5,162.8,153.7,158.75,10490,
31-Aug-2023,161,166,154.4,163.2,6729,
03-Sep-2023,165,165,156.55,159.85,32511,
04-Sep-2023,159,160.95,151.85,156.25,15373,
05-Sep-2023,156.25,164.05,150,164.05,112291,
06-Sep-2023,172.25,172.25,170.95,172.25,194402,
07-Sep-2023,180.1,180.85,178,180.85,145335,
10-Sep-2023,189,189.5,171.8,184.5,69701,
11-Sep-2023,185.6,187,175.3,175.3,16855,
12-Sep-2023,173.8,173.8,166.55,166.55,7186,
13-Sep-2023,159,173.8,159,169.8,20658,
14-Sep-2023,169.8,177.9,163.55,175.95,35362,
17-Sep-2023,177.85,177.85,169.3,170.9,5867,
19-Sep-2023,178,178,162.55,171.9,11870,
20-Sep-2023,171.65,172.85,164.25,171.25,124854,
21-Sep-2023,172,172,166.1,169.8,103484,
24-Sep-2023,171,173.95,164.5,164.95,18225,
25-Sep-2023,170,171,162.2,163.25,6312,
26-Sep-2023,169.2,171.4,162.05,170.4,15690,
27-Sep-2023,170,172.5,166,169.85,11358,
28-Sep-2023,169.85,177.8,165.35,173.3,14891,
02-Oct-2023,173.3,173.3,167.25,169.25,4919,
03-Oct-2023,165,171.85,165,166.3,8385,
04-Oct-2023,174.1,174.1,160.6,166.65,6535,
05-Oct-2023,166.45,173,162.3,171.3,18779,
08-Oct-2023,171.3,174,164.5,166.05,6968,
09-Oct-2023,171.8,173.95,163,168.95,21990,
10-Oct-2023,169,170.4,162.2,163.35,64843,
11-Oct-2023,166.95,167.4,163.55,165.3,3438,
12-Oct-2023,165.3,166.5,158.6,160.35,22909,
15-Oct-2023,163.9,167,159,166.75,12924,
16-Oct-2023,167,167.95,158.45,164.35,60754,
17-Oct-2023,162.95,162.95,158,159.2,11512,
18-Oct-2023,158,158.1,151.25,151.25,122055,
19-Oct-2023,151,153.65,146,151.9,8628,
22-Oct-2023,152.65,152.65,144.3,146.05,84204,
24-Oct-2023,141.6,149.7,141.6,143.7,78171,
25-Oct-2023,144.7,144.7,136.55,143.35,60270,
26-Oct-2023,138.1,146.2,138.1,144.05,68364,
29-Oct-2023,144.05,144.8,136.9,139.3,67795,
30-Oct-2023,138.05,146.25,138.05,145.95,12777,
31-Oct-2023,145.95,151.75,141.3,151.1,4202,
01-Nov-2023,154.95,154.95,144.25,146.15,3794,
02-Nov-2023,148.35,148.85,140.65,143.45,4834,
05-Nov-2023,143,149.9,140.2,146.55,5315,
06-Nov-2023,146.55,148.75,143.5,144.4,3729,
07-Nov-2023,144.5,146.9,141.65,144.8,4600,
08-Nov-2023,146.2,152,142,150.7,7804,
09-Nov-2023,153.7,157.95,145,154.05,8822,
11-Nov-2023,159.9,160,152.2,159.2,7737,
12-Nov-2023,160,160,157.3,159.4,6602,
14-Nov-2023,164.8,164.8,154.5,156.55,7134,
15-Nov-2023,156,159.75,153.25,155.4,5144,
16-Nov-2023,154.05,156.35,150.3,151,5774,
19-Nov-2023,147.65,151,147.65,150.55,5167,
20-Nov-2023,146,150.9,145.2,145.7,42644,
21-Nov-2023,145.65,147.95,144.5,144.95,3247,
22-Nov-2023,148,148,143.1,144.05,5457,
23-Nov-2023,144.1,147.5,138.6,143.4,9432,
27-Nov-2023,143.6,147,141,141.65,4784,
28-Nov-2023,139,143.6,137.2,139.5,5227,
29-Nov-2023,136.5,141.7,136.5,139,5124,
30-Nov-2023,139.1,141.95,138.05,139.8,3604,
03-Dec-2023,143.9,146.75,137.7,145.95,9203,
04-Dec-2023,147.9,151.9,145.55,151.35,7692,
05-Dec-2023,151,151.5,145.3,147.6,6321,
06-Dec-2023,148.75,148.75,144.5,146.65,4385,
07-Dec-2023,146.4,148.65,143,146.05,7085,
10-Dec-2023,147,147,142.2,144.5,5154,
11-Dec-2023,146.5,146.5,142,142.65,4430,
12-Dec-2023,145,148.2,142,145.65,6994,
13-Dec-2023,145,146,143,144.6,4222,
14-Dec-2023,144.5,145,140,142.3,6022,
17-Dec-2023,146.9,148.8,138,141.6,91603,
18-Dec-2023,142.1,143.85,134.55,137,17523,
19-Dec-2023,136,140.95,130.5,131.7,37616,
20-Dec-2023,132.05,132.9,127.25,130.2,32419,
21-Dec-2023,130.85,133.95,130.85,133.4,91831,
25-Dec-2023,131.5,140.05,131.5,139.5,24399,
26-Dec-2023,140.05,145.85,140.05,142.9,15168,
