STOP LOSS OPTIMISER — 2026-07-19T07:34:35.743Z
Files: 1587 | Signals: 13,88,604 | Methods: 44

RANKED BY EV (top 40):
Method                         | Signals  | WinRate  | SweepRate| T2Hit    | T3Hit    | EV%/tr   | AvgStop% | R:R@T2
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Fixed 1.5%                      |  1388604 |    19.1% |    38.4% |    10.6% |     5.1% |  -0.080% |    1.50% |    8.34
Fixed 2%                        |  1388604 |    23.9% |    32.7% |    13.4% |     6.4% |  -0.107% |    2.00% |    6.25
Fixed 2.5%                      |  1388604 |    28.1% |    27.7% |    15.8% |     7.5% |  -0.125% |    2.50% |    5.00
Fixed 3%                        |  1388604 |    32.0% |    23.4% |    18.0% |     8.4% |  -0.134% |    3.00% |    4.17
Fixed 3.5%                      |  1388604 |    35.3% |    19.8% |    20.0% |     9.3% |  -0.150% |    3.50% |    3.57
Fixed 4%                        |  1388604 |    38.2% |    16.9% |    21.6% |    10.0% |  -0.176% |    4.00% |    3.13
ATR 1×                          |  1388481 |    37.7% |    16.9% |    21.1% |     9.7% |  -0.196% |    4.17% |    3.00
Fixed 4.5%                      |  1388604 |    40.8% |    14.3% |    23.1% |    10.6% |  -0.203% |    4.50% |    2.78
EMA(21) +0.5%buf                |   686400 |    36.8% |    19.6% |    21.7% |    10.5% |  -0.231% |    4.51% |    4.74
Fixed 5%                        |  1388604 |    43.1% |    12.2% |    24.4% |    11.2% |  -0.237% |    5.00% |    2.50
EMA(21) +0.2%buf                |   651058 |    36.4% |    20.1% |    21.4% |    10.4% |  -0.239% |    4.46% |    4.83
Hybrid(2×ATR ∨ 5L+0.3%)         |  1316747 |    37.1% |    18.9% |    21.0% |     9.8% |  -0.258% |    4.56% |    4.23
Hybrid(2×ATR ∨ 5L+0.5%)         |  1334613 |    37.8% |    18.2% |    21.4% |     9.9% |  -0.265% |    4.66% |    4.02
EMA(10) +0.5%buf                |   719522 |    30.2% |    25.0% |    17.7% |     8.7% |  -0.267% |    3.42% |    5.99
ATR 1.25×                       |  1388548 |    42.7% |    11.9% |    24.0% |    10.9% |  -0.270% |    5.21% |    2.40
5-bar low +0.3%buf              |  1269523 |    37.2% |    19.0% |    21.0% |     9.7% |  -0.273% |    4.68% |    4.28
Fixed 5.5%                      |  1388604 |    45.0% |    10.4% |    25.5% |    11.7% |  -0.281% |    5.50% |    2.27
EMA(10) +0.2%buf                |   662709 |    29.6% |    25.6% |    17.3% |     8.5% |  -0.282% |    3.38% |    6.14
5-bar low +0.5%buf              |  1285497 |    38.0% |    18.3% |    21.5% |     9.9% |  -0.283% |    4.80% |    4.07
5-bar low +0%buf                |  1233779 |    36.0% |    20.2% |    20.3% |     9.4% |  -0.297% |    4.55% |    4.60
5-bar low +0.8%buf              |  1297824 |    39.3% |    17.0% |    22.2% |    10.2% |  -0.303% |    5.01% |    3.68
Hybrid(2×ATR ∨ 8L+0.3%)         |  1330930 |    40.2% |    15.9% |    22.7% |    10.5% |  -0.308% |    5.19% |    3.62
Hybrid(2×ATR ∨ 8L+0.5%)         |  1344441 |    40.7% |    15.4% |    23.0% |    10.6% |  -0.317% |    5.28% |    3.47
Fixed 6%                        |  1388604 |    46.8% |     8.9% |    26.4% |    12.1% |  -0.338% |    6.00% |    2.08
8-bar low +0.3%buf              |  1240492 |    40.4% |    16.1% |    22.8% |    10.5% |  -0.351% |    5.41% |    3.70
8-bar low +0%buf                |  1216503 |    39.3% |    17.1% |    22.2% |    10.2% |  -0.365% |    5.27% |    3.96
8-bar low +0.5%buf              |  1250707 |    41.0% |    15.5% |    23.1% |    10.6% |  -0.365% |    5.51% |    3.54
ATR 1.5×                        |  1386157 |    46.7% |     8.5% |    26.2% |    11.9% |  -0.377% |    6.24% |    2.00
8-bar low +0.8%buf              |  1257298 |    42.1% |    14.5% |    23.7% |    10.8% |  -0.392% |    5.71% |    3.23
Fixed 6.5%                      |  1388604 |    48.3% |     7.6% |    27.3% |    12.4% |  -0.403% |    6.50% |    1.92
13-bar low +0.3%buf             |  1179156 |    43.2% |    13.6% |    24.4% |    11.1% |  -0.446% |    6.14% |    3.20
13-bar low +0%buf               |  1165897 |    42.3% |    14.4% |    23.9% |    10.9% |  -0.448% |    6.01% |    3.40
13-bar low +0.5%buf             |  1184309 |    43.7% |    13.2% |    24.6% |    11.2% |  -0.462% |    6.24% |    3.07
Fixed 7%                        |  1388604 |    49.6% |     6.6% |    28.0% |    12.7% |  -0.477% |    7.00% |    1.79
13-bar low +0.8%buf             |  1185131 |    44.6% |    12.3% |    25.1% |    11.4% |  -0.491% |    6.43% |    2.83
ATR 1.75×                       |  1378813 |    49.7% |     6.1% |    27.9% |    12.6% |  -0.518% |    7.23% |    1.71
Fixed 7.5%                      |  1388604 |    50.7% |     5.6% |    28.6% |    12.9% |  -0.561% |    7.50% |    1.67
ATR 2×                          |  1358069 |    52.1% |     4.4% |    29.3% |    13.2% |  -0.669% |    8.14% |    1.50
ATR 2.25×                       |  1315379 |    54.1% |     3.2% |    30.6% |    13.8% |  -0.810% |    8.95% |    1.33
ATR 2.5×                        |  1245942 |    55.9% |     2.4% |    31.7% |    14.4% |  -0.926% |    9.62% |    1.20

BEST EV  : Fixed 1.5% — EV -0.080% WR 19.1%
BEST WR  : ATR 3.5× — WR 59.9% EV -1.511%
