PHASE 2 STOP LOSS — 2026-07-19T07:39:03.399Z
Files:1569 | Signals:1,07,267 | Methods:61

RANKED BY EV:
Method                           |  n(sig) | WinRate | T2Rate  | T3Rate  | Stopped | SweepRate| SweepCost|   EV%    | AvgStop% | R:R@T2
───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Fixed 1.5%                        |  107267 |   19.9% |   11.7% |    6.3% |   78.0% |    35.6% |   0.533% |  -0.159% |    1.50% |   7.19
Fixed 2%                          |  107267 |   25.0% |   14.8% |    7.9% |   73.3% |    28.9% |   0.579% |  -0.191% |    2.00% |   5.39
Fixed 3%                          |  107267 |   33.8% |   20.3% |   10.6% |   64.9% |    19.0% |   0.571% |  -0.204% |    3.00% |   3.59
Fixed 3.5%                        |  107267 |   37.5% |   22.6% |   11.7% |   61.1% |    15.5% |   0.543% |  -0.206% |    3.50% |   3.08
Fixed 2.5%                        |  107267 |   29.6% |   17.7% |    9.3% |   69.0% |    23.6% |   0.590% |  -0.208% |    2.50% |   4.31
Fixed 4%                          |  107267 |   40.7% |   24.7% |   12.7% |   57.6% |    12.6% |   0.505% |  -0.214% |    4.00% |   2.70
Fixed 4.5%                        |  107267 |   43.5% |   26.4% |   13.5% |   54.5% |    10.4% |   0.467% |  -0.224% |    4.50% |   2.40
ATR 1×                            |  107267 |   36.8% |   22.1% |   11.5% |   62.1% |    15.3% |   0.540% |  -0.229% |    3.59% |   3.00
Fixed 5%                          |  107267 |   46.1% |   28.0% |   14.3% |   51.4% |     8.5% |   0.425% |  -0.235% |    5.00% |   2.16
ATR 0.75×                         |  107266 |   29.7% |   17.6% |    9.3% |   69.0% |    22.7% |   0.603% |  -0.239% |    2.70% |   4.00
ATR 1.25×                         |  107267 |   42.4% |   25.6% |   13.2% |   56.1% |    10.6% |   0.464% |  -0.241% |    4.49% |   2.40
ATR 1.5×                          |  107267 |   47.0% |   28.5% |   14.6% |   50.8% |     7.3% |   0.382% |  -0.261% |    5.39% |   2.00
Hyb(ATR1.5∨5L+0.5%)               |  107035 |   46.2% |   28.0% |   14.4% |   51.8% |     8.1% |   0.392% |  -0.263% |    5.25% |   2.12
Fixed 5.5%                        |  107267 |   48.2% |   29.3% |   15.0% |   48.5% |     7.0% |   0.387% |  -0.263% |    5.50% |   1.96
Hyb(ATR1.5∨8L+0.5%)               |  107112 |   46.6% |   28.3% |   14.5% |   51.3% |     7.7% |   0.388% |  -0.263% |    5.32% |   2.06
Hyb(ATR1.5∨8L+0.3%)               |  107090 |   46.5% |   28.2% |   14.4% |   51.4% |     7.7% |   0.388% |  -0.263% |    5.31% |   2.07
Hyb(ATR1.5∨5L+0.3%)               |  106972 |   46.0% |   27.9% |   14.3% |   51.9% |     8.2% |   0.393% |  -0.264% |    5.23% |   2.15
Fixed 6%                          |  107267 |   50.1% |   30.4% |   15.6% |   45.9% |     5.8% |   0.349% |  -0.299% |    6.00% |   1.80
